movieId,title,genres,rating,tag_sim
74458,Shutter Island (2010),Drama|Mystery|Thriller,3.904468802698145,0.9999997019767761
1625,"Game, The (1997)",Drama|Mystery|Thriller,3.836791777792233,0.8864970207214355
48780,"Prestige, The (2006)",Drama|Mystery|Sci-Fi|Thriller,4.042195403318839,0.8862677812576294
54372,Tell No One (Ne le dis à personne) (2006),Crime|Drama|Mystery|Thriller,3.840978593272171,0.8713774681091309
4878,Donnie Darko (2001),Drama|Mystery|Sci-Fi|Thriller,4.015989536063211,0.8453715443611145
68237,Moon (2009),Drama|Mystery|Sci-Fi|Thriller,4.021060201356072,0.8439961075782776
2819,Three Days of the Condor (3 Days of the Condor) (1975),Drama|Mystery|Romance|Thriller,3.969186046511628,0.8428711891174316
4720,"Others, The (2001)",Drama|Horror|Mystery|Thriller,3.7087021382396816,0.8418029546737671
903,Vertigo (1958),Drama|Mystery|Romance|Thriller,4.148006243791684,0.841208815574646
3386,JFK (1991),Drama|Mystery|Thriller,3.667995217218015,0.8380258083343506
71033,"Secret in Their Eyes, The (El secreto de sus ojos) (2009)",Crime|Drama|Mystery|Romance|Thriller,4.0465994962216625,0.8378831744194031
