movieId,title,genres,rating,tag_sim
48516,"Departed, The (2006)",Crime|Drama|Thriller,4.109930812775176,0.9999997019767761
5959,Narc (2002),Crime|Drama|Thriller,3.543023970497849,0.9172378778457642
6016,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller,4.235410064157069,0.9023162126541138
115569,Nightcrawler (2014),Crime|Drama|Thriller,3.865353037766831,0.9008772373199463
7981,Infernal Affairs (Mou gaan dou) (2002),Crime|Drama|Thriller,3.9759004237288136,0.8949370384216309
4776,Training Day (2001),Crime|Drama|Thriller,3.67756893780141,0.8908441066741943
55765,American Gangster (2007),Crime|Drama|Thriller,3.82542037586548,0.8907687067985535
51540,Zodiac (2007),Crime|Drama|Thriller,3.6754543127719477,0.8886883854866028
41997,Munich (2005),Action|Crime|Drama|Thriller,3.731717597471022,0.8878850340843201
8798,Collateral (2004),Action|Crime|Drama|Thriller,3.697973400886637,0.8868150115013123
73808,"Chaser, The (Chugyeogja) (2008)",Crime|Drama|Thriller,3.815909090909091,0.8833311200141907
